id,title,content,tags
49,s accurate way obtain locational fix using gps,obviously gps obvious accessible technology obtaining locational fix robot particular time however s great sometimes locations situations s accurate d like m investigating whether s relatively easy way improve accuracy turns case ve considered following options found limited information online using much better antenna help especially low signal areas m thinking yes construct antenna know s improvement good guides use ready made antenna re expensive using multiple separate receivers tandem help likely similar amount able extract meaningful average approach sort characteristics look choosing good gps receiver help accuracy anything else consider ve missed,"['localization', 'gps']"
53,algorithm can use constructing map explored area using number ultrasound sensors,ultrasound sensors incredibly cheap days makes popular choice many hobbyist robotic applications d like use bunch say 10 around robot algorithm build rough map area robot explores m interested dealing moving objects stage just pinpointing stationary ones ll using gps location realise components laser scanner produce much accurate results however devices also astronomically expensive algorithm exist purpose,"['slam', 'localization', 'gps', 'mapping', 'acoustic-rangefinder']"
55,adding external heat sinking dynamixel rx 24f servo,hobby servos generally sufficient real robotics number reasons quality precision range motion torque etc meanwhile industrial servos abb emerson ge etc generally heavy expensive suitable small humanoid scale actuation similarly building servo motors gearboxes encoders akin trying design cpu just control motor much detail getting way real work exists level servos reasonably priced reasonable performance reasonably controllable form competing brands dynamixel herculex servos smallest offerings lines generally strong enough real world interaction next step hold lot promise robotis dynamixel line rx 24f servo priced cheap ax 12f next step mx 28r asking around seems specs interface servo great shuts thermal overload actually try run rated load something d expect hobby servo robotics servo now stepping mx 28r doubles price thus rx 24f heat flaw fixed positioned nice price performance point anyone experience providing additional cooling servo anything thermal gluing heat sinks case drilling holes running cooling fluid tubing hot parts interior reasonable approaches however spend significant time effort investigating d like second opinion possible anyone experience worth,"['servos', 'heat-management', 'cooling']"
57,can detect dc motor robot starting fail,characteristics can look reliable early warning signs dc motor robot say one used drive failing m looking answer deals terms sensors rather manual inspection circuit constructed warn potential failure happens ideas increase current draw decrease rotation speed voltage want guard false warnings caused reasonable wear tear just robot struggling tough terrain obviously system will never foolproof points can look,"['sensors', 'failure', 'motor']"
60,possible move stabilize two wheeled robot gyroscopes,two wheeled robot like one managed stabilize keeping stationary done using digital feedback control system reading position wheels determine position natural back electromotive force wheel motors used feedback loop determine velocity kept stable pid controller designed using root locus algorithm keep stable modulate performance parameters percent overshoot settling time etc wanted attempt keep stable simultaneously propelling forward couldn t figure go designing linear controller possible propel robot forward keep stable using feedback controller wheels gyroscope necessary,"['two-wheeled', 'stability']"
65,calculating efficiency mecanum wheels,m part first robotics team re looking using mecanum wheels robot advantages disadvantages using mecanum wheel versus regular ones looking google looks like mecanum wheels give mobility don t much traction advantages disadvantages compared regular wheels mecanum wheels less efficient efficient way quantifiable way determine much equations can use calculate efficiency inefficiency speed moving forwards sideways arbitrary angles picture robot mecanum wheels,"['mobile-robot', 'design', 'movement', 'wheel', 'first-robotics']"
75,using arduino control connection two pins,ve got driver a4988 stepper motor driver carrier m attempting control connection reset sleep pins logic code running arduino motor runs perfectly two pins connected however d like control stepper powered arduino thus generating extra heat d like designate pin control connection two pins use digitalwrite pin high low switch power stepper note data sheet mentioned driver powering stepper reset sleep needed switched high,"['arduino', 'logic-control', 'stepper-motor', 'stepper-driver']"
85,shape memory alloy wire robot gripper arm actuation vary grip pressure,robotic gripper arm designing factory floor use small components propose use electrically activated shape memory alloy sma wire harnesses actuation device designed akin pick place machines used circuit assembly moves aircraft hanger sized work surface wheels manipulates irregular shaped porous objects 0 5 cu cm 8 cu cm hence traditional vacuum p p mechanism appeal also individual objects assembly line varying hardness weights design constraints ensuring minimal zero vibration sound using minimal volume within mechanism batteries wheelbase providing stability weight concern fine variation gripper pressure believe sma meets first two constraints well need guidance achieving constraint 3 e different levels pressure gripper controlled electronically questions can pwm current activation threshold 320 ma 0 005 inch flexinol ht provide variable repeatable actuation force need pressure sensors fingertip closed loop control grip can gripper calibrated periodically maintain repeatable force well documented precedent study referring,['mobile-robot']
88,mechanical design motorized spherical caster wheels,design goal mobile robot operates 3 large casters essentially 2 4 inch diameter steel ball bearings motorized mechanism touch surface robot thus able move xy direction flat surface steering achieved varying speed rolling direction wheels robot designated front side need bodily turn order move given direction conventional wheels tracks preferred approach looking suggested mechanical layouts multiple rubber wheels pressing onto steel ball within castor housing drive ball direction single wheel stepper rotated around vertical axis using sail winch servo one approach consideration ideal serious flaws approach alternatively suggested method driving steel ball arbitrary direction electronic control,"['servos', 'mobile-robot', 'stepper-motor']"
91,determines amount noise actuator produces,many robots mechanical devices produce signature whirring noise move produce less makes difference restrictions silence requirement places robot,"['motor', 'actuator', 'noise']"
93,bldc servo drive takes sinusoidal hall sensor signals,looking servo drive control brushless dc motor least 10a 30v rating however want know exist take sinusoidal hall sensor signals directly already know servo drives taking hall sensor pulses 6 different phases trapezoidal control note servo drive includes driving electronics additional transistors required,"['brushless-motor', 'hall-sensor']"
94,developing 8 bit avr s current open free libraries,interested ask list repos free open code applicable 8 bit avr s relation robotics object avoidance process controllers battery management etc huge help preventing wasting weeks months invent wheel,"['software', 'microcontroller']"
99,manage interrupts avr,number interrupt service routines avr include interrupts usart serial communication timers spi communication use circular queues using start end pointer without boundary checking problems start occur avr starts get overloaded circular queues will lose chunks data solve can reduce load avr example skipping cycles timer however manual process reduced avr appears problems partly want relatively consistent timer periods however even 70 average processor load queues can fill randomly chance case spurious overloading times can make adaptive avoid queue overflows,"['microcontroller', 'avr', 'interrupts']"
100,connectors reliable,used connectors signal wiring length time may find unreliable specifically find unreliable used long time number disconnections re connections due loss springy ness crimped metal end wire causes contact problems connectors rapid connection time reliable multiple re connections simple signal wiring excludes screw terminals connectors screws eg d subminiature connectors simple plug connectors,['wiring']
106,suitable model two wheeled robots,suitable model two wheeled robots equations motion describe dynamics two wheeled robot model varying fidelity welcome includes non linear models well linearized models,"['mobile-robot', 'two-wheeled']"
112,emergency stops wired,emergency stops obviously good idea robots wired systems killed immediately stay working,"['mobile-robot', 'errors']"
113,model noise range sensor s return,range sensors example sonar infrared lidar notoriously noisy can characterize noise characteristics include probabilistic localization sensor model,"['sensors', 'noise']"
117,difference 4 point 8 point connectivity graph based planning,graph based planning say states connected neighbors one decide whether connect 4 neighbors 8 neighbors pros cons approach,"['motion-planning', 'artificial-intelligence', 'planning']"
118,properly flashing firmware lego mindstorms nxt,attempting upload custom firmware lego mindstorms nxt issues first m attempting use nxtosek let run c programs problem everytime put firmware update mode download doesn t seem actually occur mean according output terminal mac windows download successful however nxt reboots still see normal logo nxtosek m first holding button seconds hitting orange button giving tic tic tic sound run firmware update either using windows nexttool mac osx gui nexttool attempt download get success message yet robot still using old firmware cause problem can solve,"['mindstorms', 'nxt']"
119,better weight distributed wheels center robot,designing standard 4 6 wheel robot better weight distributed primarily center robot wheels difference specifically weight distribution will make robot less likely tip,"['mobile-robot', 'design', 'stability', 'wheeled-robot']"
128,mature real time programming robotics,edit don t know question seems confusing many people aware use real time interested knowing whether people real time task actually care enough implement real time s need mention real time operations important robot question however much actually used robotics take question example one answer mentions platform real time capabilities far top ros apparently popular platform real time real time world however rtai1 seems workable free real time platform use however limited linux problem badly documented slowly developed much real time behavior sought among robotics developers question much developers inclined write real time applications real time behavior actually needed much example reflexive behavior based tactile data go ros lose real time property people really come real time solution use ros anyway ignoring real time property 1 similarly xenomai,"['software', 'platform', 'real-time']"
131,connecting two microcontrollers using i2c,atmega16 mc master i2c atmega8 mc slave i2c connected two mcs sda scl ports alongside pullup resistor now want read register atmega8 using atmega16 problem don t want assign variables manually libs headers will thing,"['software', 'microcontroller', 'i2c']"
138,mathematical prerequisites beginning graduate student robotics,beginning graduate student robotics asked areas mathematics brush prerequisites begin masters research program robotics good materials books indispensable research student ones suggest order student develops solid foundation robotics,['research']
142,technology behind kiva systems mobile robots,kind sensors algorithms mobile robots kiva systems equipped,"['mobile-robot', 'industrial-robot']"
143,calculate required loop frequency servo controller,motor drives string connected load cell like implement closed loop controller control load applied motor string go determining required loop frequency order create stable control system something like nyquist frequency loop speed least twice highest frequency inherent mechanical system,"['control', 'motor', 'force']"
146,rail material best used linear bearings,3d printer reprap prusa several rails smooth rods guide printer head different axises printer head uses several linear bearings glide along rails isn t specification kind material best suited purpose linear bearings first assumption stainless steel won t corrode rust surface m sure true printers whether 3d printers different material may allow linear bearings glide easily aluminum second choice reservations grade least resistant resource limited information help best suited particular application material best suited purpose,"['reprap', '3d-printing', 'linear-bearing']"
148,detect nao robot kinect,sure tried trying use kinect detect gestures made nao robot made kinect application gesture based picture viewer detects humans fine obviously wanted try lazy see use say voice command tell nao swipe right gesture application identify gesture nao can easily identify command gesture problem however put nao front kinect sensor kinect track want know basics behind kinect s human body motion tracking essentially fails robot placed front instead human ps kept nao right distance sensor also checked entire robot field view sensor edit posted stackoverflow msdn target large audience problem encountered anyone past,['kinect']
150,preventing leaks motor shafts underwater bots,whenever building aquatic bot always take care prevent leakages obvious reasons now holes wires can made watertight easily motors can easily seal casing place fill holes casing part axle meets casing still left unprotected water leaking motor still quite bad doubt s way seal area properly since solid seal will let axle move liquid seal something like grease will rub eventually thinking putting second casing around motor maybe custom rubber orifice shaft something like forgive bad drawing used gimp probably stop leakage reduce torque rpm significantly via friction one prevent water leaking motor without significantly affecting motor s performance clarify don t want buy special underwater motor d prefer way make motors watertight,"['motor', 'underwater', 'auv', 'protection']"
154,fixed point arithmetic microcontrollers,often use microcontrollers things robots need make calculations decimal using floating point variables slow software floating point library automatically included unless high end microcontroller therefore generally use fixed point arithmetic whenever just use integer remember decimal place however take care ensure everything consistent especially calculations involve variables decimal point different place implemented fixed point atan2 function trying squeeze every last drop limited precision 16 bits often change definition decimal point change tweaked addition constants quasi look table implied decimal point somewhere want know better way library set macros can simplify use fixed point variables making multiplication division mixed variables easier allowing declaration decimal numbers constant expressions automatically converting desired fixed point representation compile time,"['microcontroller', 'c']"
155,choose good imu wheeled robot,lab several kurt type robots size pioneer six wheels differential drive built gyroscopes now really outdated main problem gyroscopes large drift increases gyro heats error 3 s mainly use imu get initial pose estimates later corrected localization algorithm even large initial pose error caused imu often annoying ve temporarily used android phone galaxy s2 replacement imu results much better compared old imus however don t like depending wifi connection imu control computer laptop running ros ubuntu re looking buy new imu imu choose criteria important consider application please share experiences,"['ros', 'imu', 'odometry', 'gyroscope', 'ugv']"
167,good strategies tuning pid loops,tuning controller gains can difficult general strategies work well get stable system converges right solution,"['control', 'pid', 'tuning']"
172,absolute positioning without gps,using imu robot can estimate current position relative starting position incurs error time gps especially useful providing position information biased local error accumulation gps used indoors even outdoors can spotty methods sensors robot can use localize relative frame reference without using gps,"['localization', 'gps', 'sensors', 'slam']"
178,hmms vs crfs model time series force data robots interacting environment,time series force data robots interacting environment objects various textures like develop models various textures using time series data classify textures smooth rough moderate etc categories purpose will hidden markov models sufficient use conditional random fields decide classify categories distinction categories subtle case good choice will force data sufficient capture information need classify textures categories thanks replies,['artificial-intelligence']
182,suitable control algorithm air muscle based joint,joint actuated antagonistic pair pneumatic muscles two valves per muscle one fill one empty muscle joint angle sensor muscle also contain air pressure sensor suitable control algorithm set pid controller controlling valve orifice sizes pid controller controlling mass flow rate pid controller controlling pressure using two pid pressure controllers fuzzy logic controller neural network,"['control', 'pid', 'air-muscle']"
184,robotics trends,robotics always one engineering fields promised much taking long time deliver things people imagine someone asks long x type robots resources can call upon try calculate rough answer resources might include rate progress computational power estimate much will needed various types ai rate progress electrical energy storage density estimate much will needed various types robot rate progress actuation systems estimate needed various types robot lists milestones towards various types robot ones achieved types studies performed results published added response jakob s comment looking opinions discussions subject looking published studies might shed light question,['research']
205,creating fast uniform linear actuator,linear actuators ve seen nonuniform slow using cam crankshaft like mechanism nearly anything hydraulic pneumatic moved constant speed without programming using screw like mechanism uniform slow aside rack pinion rope wound around stick fast uniform linear actuators exist uniform mean speed uniform distance moved linearly dependant angle rotated motor,['actuator']
209,determine quality icp matches,slam frontends use iterative closest point icp algorithm identifying association two matching point clouds can determine algorithm stuck local minimum returns wrong result problem defined matching two pointclouds samples arbitrary surface structure sampled areas overlap 0 100 unknown know trimmed icp variant works iteratively trying determine overlap even one can stuck local minimum naive approach look mean square error identified point pairs without estimate sampling seems risky thresholding manual leica cyclone suggest manual inspection pair error histogram gaussian shape fit good linear fall match probably bad seems plausible ve never seen used algorithm,['slam']
210,can automatically adjust pid parameters fly,simple servo system uses pid controller implemented mcu perform feedback however properties system change dynamically pid parameters can never tuned circumstances robot light weight arm back drivable electric motors similar one arm performs several tasks including picking heavy weights pushing pulling objects across desk tasks requires different pid tuning parameters easily predict really like higher level function can carefully adjust parameters response arm s behaviour example notices arm oscillating might reduce p increase d noticed arm wasn t reaching target might increase algorithms exist happy even algorithm didn t perfect parameters immediately e g arm oscillate times parameters adjusted new values,"['control', 'pid', 'automatic', 'tuning']"
213,can integrate smart phone robotics project,smart phones days typically come gyroscope accelerometer compass camera gps sensor board also usually connection internet wifi mobile data networks ve seen many cases using phone remote control robot seems like phone perfect lightweight computing sensing platform autonomous robot main obstacle see interfacing actuators able control motors steer even table top robot control servos example connecting communicating microcontroller obstacle well robot hobbyist d like know can overcome obstacles able harness power smart phone robotics projects,['actuator']
215,starting advice making robots tinkering microcontrollers,d like start making robots tinkering microcontrollers start need d like make robots m comfortable programming assembly c ve got part covered electronics circuits knowledge little weak idea material start tools need put stuff together microcontroller m thinking going pololu orangutan lv 168 arduino duemilanove although m leaning towards orangutan built lcd pushbuttons expect use especially debugging user interaction right track seems like number o ports small case practice,"['arduino', 'microcontroller', 'beginner']"
222,floor segmentation determine navigable paths,application robot following physical setup differential drive mechanics feedback wheel encoders commercially available webcam mounted known transform base robot rgb depth robot will navigating structured indoor type environment think office home university like able determine navigable paths environment using vision sensor best way approach problem finding safe paths travel given single vision sensor edit think interested vision processing techniques actual path planning mechanics,['computer-vision']
229,red error output python ros,ros get error logs print red use python can make appear red instead black example following python produces output black error walltime 135601422 876123 analog input received whereas following c ros error analog input received produces following output red error 135601551 192412 analog input received,"['ros', 'python']"
230,can ros run raspberry pi,can ros run raspberry pi ros resigned run network machines different machines even different cores machine different jobs can one machines raspberry pi considering using r pi ethercat master mobile robot communicating main pc wifi using dongle can r pi even run ros r pi enough processing power 1khz servoing possible run servoing host wifi connecion,"['ros', 'raspberry-pi', 'wifi']"
231,frequency quadcopter output sense calculate output update loop need stay stable,600 mm 2 foot motor motor quadcopter frequency output sense calculate output update loop need stay stable m estimating total takeoff weight roughly 2 pounds 0 9 kg expect mostly motors batteries,"['stability', 'quadcopter']"
235,better batteries distributed rotors center multicopter,ve seen 3 approaches mounting batteries multicopter batteries rigidly mounted near center airframe batteries bag hanging center airframe rotor share batteries rigidly mounted near example quadcopter 1 4 batteries mounted underneath motor design best one best design advantages tradeoffs designs design m overlooking better way question focuses multirotor flying machines ground vehicles see better weight distributed wheels center robot,"['design', 'stability', 'quadcopter']"
237,calculate serial speed buffer requirements pc microcontroller communications,common scenario pc sends commands microcontroller via rs232 pc program sending commands composed multiple bytes fast can small robot microcontroller robot parallax propellor noticed don t process bytes quickly enough microcontroller side things can quickly overflow default buffers popular serial port drivers available propellor buffers generally anywhere 16 256 bytes can arbitrarily increase buffers create larger circular buffer like methodical approach determining appropriate size requirements minimal amount time can wait pulling bytes serial port driver buffer 1st glance 115200 115 2 bits per millisecond 12 8 bytes per millisecond assuming 1 stop bit 1 valid way calculate timing serial transmissions also given specific setup pc program bluetooth serial profile driver bluetooth transceiver bluesmirf wireless modem parallax propellor program 2 maximum amount data can send given period time consistently without eventually running problems maybe m complicating things seems like potentially multiple buffers involved transmission chain others commonly deal throttle pc sending known safe rate implement flow control implementing flow control affect bandwidth response times matters experiment use joystick pc control multiple servos instant reaction joystick movements every small movement joystick results multiple commands sent microcontroller commands just simple positional commands though also involve acceleration deacceleration servos time reason microcontroller spends significant amount clock cycles processing new bytes,"['microcontroller', 'serial', 'rs232']"
249,six axis force torque sensor work,really like six axis force torque sensor robot just can t afford one thinking making one experience using strain gauges can t work arrange create six axis force torque sensor something feasibly make work theory behind m curious know work even s feasible make one added just clear m talking force torque sensors like ati nano 17 talking accelerometers gyros mems imus,"['sensors', 'force-sensor']"
254,switch servo system brushed brushless motors,robot uses brushed motors servo system maxon 3w motors 131 1 planetary gearboxes motors controlled pic microcontroller running 1khz pid controller servos low speed high torque application significant backlash sensor motor maxon offer 12w brushless motors size better many ways double torque better heat dissipation higher efficiency problem obviously require complex drive electronics also heard couple people mention brushed motors better servo applications though never explained anyone else implemented kind system gotchas using brushed motors servos possible servo low speeds 3 integral digital hall sensors encoder prefer add encoder money space cost torque ripple likely problem,"['brushless-motor', 'servomotor']"
255,uav kit s suitable beginner roboticist programming experience,m really new robotics however programmer familiar several different languages don t ton money spend wondering really good starter kit criteria kit inexpensive powerful functionality extensible something allow builder creative possibly invent new ways use just glorified model kit extendable smartphones plus m looking something easy introductory just something powerful flexible cost effective,"['uav', 'kit']"
256,quadcopter localization beacon,want use rf beacon localize quadcopter autolanding gps precise enough example driveway 10 feet wide gps showing 20 30 ft accuracy proverbial lake lava either side quadcopter use gps fly rough location strong enough signal beacon begin use signal come landing precise location referenced said beacon can someone please explain concepts theories behind building beacon s accompanying receiver suitable connection arduino via digital analog method achieving say 4 better horizontal vertical accuracy within 50 sphere minimally quad range altitude e 10 feet away beacon 2 feet much added complexity take make robot fully position aware beacon e x ft south y ft west z ft coordinate system determined beacon linked sort geographic coordinate system beacon mounted say 10 ft pole changes made versus ground presuming activity takes place s x y plane last note thing prefferably operate 72mhz band please presume m operating devices operating band,"['localization', 'quadcopter', 'gps']"
261,commutation waveforms look like brushless motor,seen waveforms driving brushless motor guess waveform used simpler block commutation want sinusoidal waveforms pwm signal look like now need carefully synchronise edges three phases,"['brushless-motor', 'pwm']"
262,effectiveness mobile robot relation mass,mobile autonomous robots become less effective bigger get example bigger robot bigger batteries thus bigger motors whereas smaller robot exact opposite making need less energy also smaller motors known theorem models,"['mobile-robot', 'design', 'dynamics']"
267,capacitors added motors parallel purpose,ve seen many motors capacitors attached parallel bots apparently safety motor understand will smoothen fluctuations doubt fluctuations can adverse effects motor apparently protect motor shaft slowed blocked fail see exactly function capacitor prevent,"['motor', 'protection']"
271,spatial tracking two uavs,two unmanned aerial vehicles planes work well can fly various waypoints automatically using gps now like fly together formation like fly side side fairly close close reliably use gps guarantee keep correct relative positions safely looking another way somehow uavs need able measure position orientation space relative one can kind sensor can need following properties 6 axes position orientation range 0m 5m plane centres planes won t actually ever touch wingtips works day night weather conditions light weight 1 5m wingspan rc planes max extra weight 100g probably need 50hz 100hz refresh rate might get away less using imu fill gaps,"['sensors', 'uav', 'multi-agent']"
274,low cost servo digital control interfaces,years ago projects provided hardware software perform modifications standard hobby servos convert digital servos advantages come openservo little outdated seem worked anymore hardware buy sparkfun version openservo least available buying know mods even complete low cost digital servos mostly interested position feedback servo chaining,"['servos', 'i2c']"
277,need kalman filter,designing unmanned aerial vehicle will include several types sensors 3 axis accelerometer 3 axis gyroscope 3 axis magnetometer horizon sensor gps downward facing ultrasound friend mine told will need put sensor data kalman filter don t understand can t just put straight micro controller kalman filter help sensor data,"['kalman-filter', 'uav']"
284,type actuator will suitable strong robot arm,wish build robotic arm can lift useful amount weight 3 6kg arm can extend approx 1 25 meters actuators available accomplish main factors design points expensive 5 6 d o f mounted yet designed mobile platform battery powered stronger hobby servos least shoulder elbow joints slow actuate,"['mobile-robot', 'robotic-arm', 'actuator']"
287,programming robots javascript,somebody spending majority time programming javascript s best route get small robotics without needing deviate much current language focus project kits tools make use javascript language might make field approachable developers like even interested virtual environments code executed simulation,"['software', 'programming-languages']"
299,can inverse kinematics problem solved,forward kinematics robot arm can solved easily can represent joint using denavit hartenberg transformation matrices example th joint linear actuator may transformation matrix t \left \begin matrix 1 0 0 0\\ 0 1 0 0\\ 0 0 1 d i\\ 0 0 0 1 \end matrix \right extension length defined d whereas rotating link may t \left \begin matrix 1 0 0 l\\ 0 \cos\alpha \sin\alpha 0\\ 0 \sin\alpha \cos\alpha 0\\ 0 0 0 1 \end matrix \right \alpha angle l length link can find position orientation end effector multiplying transformation matrices \prod t question solve inverse problem mathematically desired end effector position m find parameters d \alpha \prod t m methods exist solve equation,"['inverse-kinematics', 'kinematics', 'joint', 'arm']"
301,spline function best suited trajectory differential drive,s best kind spline can used generating trajectory can adapted execution time use case differential drive move towards point x y theta without stopping movement e g turn toward goal straight move goal position turn goal orientation robot provided laser scanner detecting dynamic obstacles avoided s best kind controller case,"['control', 'motion-planning']"
309,correct way use subsumption architecture robot c,ve lot reading lately subsumption architecture different ways people seem advocate instance people use global flag variable task take control others use allow arbiter really choose think correct small section robotc code m working line following robot sure right currently track method will always take find method correct flow find guide robot line using spiral path find line line found track take task evade sensorvalue forwardsonarsensor threshold box obstruction task find sensorvalue lightsensor threshold spiral robot task track sensorvalue lightsensor threshold go straight else execute turns follow line task main true starttask evade 9 starttask track 8 starttask find 7 wait1msec 250 ve just used comments rather actual code keep brief statements good enough conditions robot line track takes due else statement within track track perform turns looses line without taking forage start program,"['mobile-robot', 'software', 'two-wheeled', 'robotc']"
317,much can working cnc machines teach robotics,built simple x y z cnc machines ve learned g code motor control firmware open loop systems see machines like rovers big dog factory arms seem incredibly complex comparison yet don t seem magical important skills pick working cnc machines s next logical thing learn things cnc machines never teach,['control']
323,ipc bridge problem,anyone able help getting ipc bridge working ubuntu lucid installation matlab 2012a m able finish last step compiling messages folders m able rosmake ipc bridge ros however enter roscd ipc roslib make seems mex recognize commands get screen shot note m going use ipc bridge can control pioneer 3dx implement fast slam algorithm matlab,"['mobile-robot', 'software', 'slam', 'ros']"
327,learning algorithms walking quadruped,m building 4 legged robot quadruped 3 degrees freedom per leg goal project make robot able learn walk learning algorithms will need implement work m using arduino uno microcontroller,"['arduino', 'microcontroller', 'machine-learning', 'walking-robot']"
331,robot serial communication error,using koro robot pc based automation solution sometimes robot getting command refuses respond get serial communication timeout error error happening random type commands also happening time making troubleshooting difficult doubt driver problem approach problem thanks,['logic-control']
338,list maneuvers related control tracked platform,platform two tracks two motors one uses electronic speed control double tap reverse esc takes input pulse train frequency 1500 neutral 700 m interested learning algorithms list commands can use control platform executes maneuvers example lock one thread platform rotate using one two treads rotate opposite directions execute u turn m struggling expressing code maneuvers executed s dead zone around 1500 pulse train frequency esc output weak cause platform move double tap reverse also makes tough understand long track turned thank input,"['control', 'motion-planning', 'tracks']"
341,tendon longevity,thinking developing tendon driven robot manipulator industrial application requires high level reliability however aware tendons robot prone wear tear failure can go selecting suitable tendon material steel kevlar spectra etc use appropriately studies undertaken examine longevity failure patterns robotic tendon materials perform tests materials can perform tests efficiently make best use testing time learn much possible tendon failure reasonable length time,"['failure', 'reliability']"
